Country of Citizenship,Continent,Region,# of Active Students,Male,Female,ASSOCIATE,BACHELOR'S,DOCTORATE,FLIGHT TRAINING,HIGH SCHOOL,LANGUAGE TRAINING,MASTER'S,OTHER,OTHER VOCATIONAL SCHOOL,PRIMARY,SECONDARY,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,GU,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MP,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY
BRAZIL,South America,South America,24144,11723,12413,2866,6046,1456,29,0,7665,3342,1684,81,110,865,1,104,88,137,3950,181,235,173,36,5589,531,0,45,221,120,1069,279,257,98,100,1888,188,23,299,174,343,0,77,32,329,19,93,48,1015,45,103,2282,235,153,139,499,5,45,103,32,184,943,915,352,1,18,130,113,89,16
BRITISH VIRGIN ISLANDS,North America,Caribbean,107,40,67,16,79,1,0,0,0,7,0,1,2,1,0,3,1,0,1,1,0,0,1,27,5,0,0,2,0,0,1,1,0,0,1,2,0,2,0,17,0,0,0,1,0,0,0,1,2,0,12,2,0,0,3,2,8,1,0,1,6,0,0,2,1,0,0,0,0
BRUNEI,Asia,South-Eastern Asia,44,22,22,6,28,2,0,0,1,3,4,0,0,0,0,0,0,2,14,0,0,2,0,5,1,0,0,0,0,1,0,0,0,0,3,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,5,2,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0
BULGARIA,Europe,Eastern Europe,832,361,471,55,346,169,0,0,41,149,52,5,1,14,2,2,1,8,97,7,16,9,7,40,14,0,3,8,0,90,6,6,1,8,108,14,5,12,12,15,0,4,2,15,1,0,2,30,3,12,118,14,5,4,42,0,6,6,0,5,26,2,22,0,1,13,6,0,2
BURKINA FASO,Africa,Western Africa,707,467,240,267,215,28,2,0,111,68,12,0,0,4,0,0,4,0,10,1,1,9,4,30,68,0,0,8,4,10,6,4,1,0,15,23,0,3,38,3,0,0,0,6,1,37,0,35,1,1,158,20,4,4,26,0,0,1,7,4,103,4,22,0,1,7,22,1,0
BURMA,Asia,South-Eastern Asia,1697,974,723,336,883,99,6,0,52,188,110,3,3,17,0,6,4,12,511,11,10,14,1,78,13,0,3,26,2,58,42,17,20,10,129,28,3,21,22,46,0,0,0,15,0,2,12,16,2,6,204,23,21,39,57,0,4,7,1,14,39,3,29,0,10,84,20,2,0
BURUNDI,Africa,Eastern Africa,160,78,82,19,111,7,0,0,2,11,4,0,0,6,0,1,2,2,8,2,3,1,0,4,4,0,0,11,3,9,4,4,3,1,5,1,1,2,21,1,0,0,0,3,1,0,1,2,0,0,12,0,8,0,13,0,0,1,0,4,9,5,2,0,1,1,4,0,0
CAMBODIA,Asia,South-Eastern Asia,758,402,356,221,291,22,10,0,31,87,29,1,8,58,0,0,0,6,227,9,5,3,0,12,7,0,1,23,2,15,7,4,11,3,71,10,3,6,21,4,0,1,1,10,0,0,1,9,1,3,33,14,10,14,33,0,15,3,1,7,52,8,19,0,4,66,2,1,0
CAMEROON,Africa,Central Africa,1504,762,742,387,467,178,0,0,73,331,40,1,1,26,0,15,25,12,87,8,9,25,5,35,70,0,4,23,4,43,14,21,9,48,54,110,6,25,69,19,0,18,1,20,8,14,4,25,30,2,66,35,106,5,50,0,2,5,10,16,242,11,38,0,1,20,18,14,3
CANADA,North America,Northern America,27995,14055,13932,1375,12607,5664,30,0,56,4652,2403,153,116,939,52,157,68,356,3517,221,511,273,23,1061,378,2,134,258,223,1180,391,152,139,132,2542,371,215,2001,368,366,0,51,134,406,392,94,256,503,64,60,5326,494,183,416,1273,20,274,117,57,303,783,330,343,5,157,404,255,127,77
CAPE VERDE,Africa,Western Africa,68,31,37,13,32,2,2,0,4,4,9,1,0,1,0,0,0,0,1,0,2,0,0,4,0,0,0,0,1,9,0,0,0,0,27,2,0,1,0,0,0,0,0,0,0,1,0,1,0,0,4,5,0,0,3,0,2,0,0,1,2,1,0,0,1,0,0,0,0
CAYMAN ISLANDS,North America,Caribbean,203,91,111,21,131,5,2,0,0,17,2,1,5,19,0,2,0,1,4,0,2,2,0,94,14,0,0,0,0,4,3,2,0,1,4,1,0,5,3,5,0,0,0,4,0,1,0,0,1,0,12,2,2,0,6,0,3,4,0,4,6,1,9,0,0,1,0,0,0
CENTRAL AFRICAN REPUBLIC,Africa,Central Africa,20,16,4,5,7,0,0,0,6,0,1,0,0,1,0,0,0,0,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,7,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0
CHAD,Africa,Central Africa,58,33,25,14,18,3,0,0,11,9,1,0,0,2,0,2,1,0,3,1,0,3,0,5,4,0,0,1,1,0,0,0,1,0,3,5,0,0,0,1,0,0,1,0,0,0,0,2,0,0,3,0,0,1,0,0,0,0,0,1,16,0,3,0,0,0,0,0,0
CHILE,South America,South America,2461,1567,893,156,555,425,18,0,494,599,151,6,17,40,0,12,13,25,423,24,14,17,3,184,42,2,16,18,42,98,45,11,9,10,233,37,7,32,20,33,0,4,2,53,2,3,4,25,4,8,358,25,7,18,68,4,10,10,1,19,104,258,35,0,4,19,39,6,1
CHINA,Asia,China,340518,177656,162755,12010,123386,50390,3000,1,9508,108021,10321,103,1468,22310,24,3040,738,6873,65225,3400,4939,4542,2266,8782,6900,10,390,4159,305,16032,8456,2121,1151,1456,23819,6455,669,9961,4274,5784,153,459,125,5694,403,1851,1299,8754,407,782,45014,12839,1735,4951,20454,17,1860,1653,183,2056,13733,1706,6526,0,872,9614,5001,463,143
CHRISTMAS ISLAND,Australia&Pacific Islands,Oceania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COLOMBIA,South America,South America,10572,5166,5404,1152,2646,1229,192,0,2762,1965,448,32,24,122,1,59,34,68,848,111,100,146,36,1789,407,0,10,104,39,418,173,65,35,131,842,161,10,99,110,133,0,48,4,150,2,89,18,324,36,31,1552,128,111,50,215,249,23,71,13,75,705,319,208,0,23,80,66,49,4
COMOROS,Africa,Eastern Africa,8,4,4,2,0,1,0,0,1,3,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CONGO (BRAZZAVILLE),Africa,Central Africa,215,105,110,71,81,4,0,0,26,25,4,0,0,4,0,0,0,1,11,7,1,7,1,4,4,0,0,7,1,5,2,2,0,0,9,7,0,3,9,6,0,0,0,14,2,2,0,11,1,1,34,0,4,2,10,0,0,0,1,1,37,0,1,0,2,3,0,1,1
CONGO (KINSHASA),Africa,Central Africa,1444,797,647,454,633,28,5,0,123,123,18,1,4,55,0,12,30,9,71,16,6,18,4,51,72,0,0,30,6,59,45,35,31,8,42,40,6,29,60,23,0,2,1,61,4,14,8,14,1,6,30,47,11,12,41,0,0,0,24,16,186,65,53,0,4,77,26,34,4
COSTA RICA,North America,Central America,1127,605,522,72,522,203,8,0,55,199,35,3,3,27,1,6,21,12,101,17,10,27,0,124,59,0,2,15,5,40,31,18,1,15,104,14,1,22,20,15,0,2,2,36,0,4,3,14,5,12,102,18,7,10,37,7,4,15,2,22,53,15,45,0,2,8,11,7,3
COTE D'IVOIRE,Africa,Western Africa,1493,772,721,353,683,35,0,0,91,284,28,0,8,11,0,19,90,5,98,7,6,17,6,28,91,1,0,9,2,15,37,14,8,23,43,37,3,16,126,10,0,1,0,29,3,19,1,30,2,0,84,20,81,8,31,0,0,3,3,15,354,27,35,0,0,14,18,1,3
CROATIA,Europe,Southern Europe,592,315,277,44,315,76,0,0,20,96,21,0,0,20,0,8,6,5,64,7,12,8,1,37,9,0,0,2,1,35,16,8,3,5,35,14,2,4,8,7,0,7,0,20,2,2,4,9,2,4,78,7,23,0,31,1,3,5,4,11,42,4,14,0,3,6,6,7,0
CUBA,North America,Caribbean,72,38,34,1,19,19,0,0,8,16,4,3,0,2,0,1,0,0,3,0,0,2,0,10,1,0,0,1,0,1,1,1,0,5,7,1,0,2,0,1,0,1,1,2,0,0,0,1,0,0,13,1,0,0,3,3,0,1,0,1,3,0,1,0,0,1,1,0,2
CURACAO,North America,Caribbean,184,120,64,72,83,0,0,0,1,6,2,0,0,20,0,0,6,1,3,0,0,0,0,72,10,0,0,6,1,2,0,0,0,2,2,2,0,0,3,17,0,2,0,4,0,10,0,0,0,1,26,1,2,0,0,3,0,0,1,0,3,0,0,0,2,0,1,1,0
CYPRUS,Asia,Western Asia,374,232,142,20,193,79,0,0,5,64,9,1,0,3,0,2,0,8,56,2,4,8,0,23,3,0,0,4,1,15,10,2,1,3,47,12,0,6,6,3,0,0,0,9,0,0,0,6,0,1,93,13,1,3,13,0,5,1,0,1,9,0,3,0,0,0,0,0,0
CZECH REPUBLIC,Europe,Eastern Europe,882,426,454,104,366,94,1,0,45,101,50,5,23,93,2,9,3,8,120,9,17,6,0,101,12,0,12,7,4,42,10,28,8,3,52,7,19,22,10,14,0,3,3,20,4,10,14,19,8,1,95,14,5,3,24,0,4,17,2,6,29,11,17,0,13,17,17,0,1
DENMARK,Europe,Northern Europe,1039,526,513,65,474,84,4,0,32,128,177,7,3,65,1,16,11,6,340,9,13,8,1,66,22,0,10,8,2,30,9,4,9,3,79,6,7,16,7,12,0,3,2,24,1,2,3,11,4,1,140,9,9,12,23,0,3,8,0,7,23,20,6,3,6,11,9,4,0
DJIBOUTI,Africa,Eastern Africa,8,4,4,2,1,1,0,0,3,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOMINICA,North America,Caribbean,437,137,300,29,309,20,2,0,3,61,2,0,0,11,0,1,12,2,7,1,5,1,1,32,3,0,0,3,0,2,0,4,0,84,6,11,0,4,4,1,0,1,0,8,1,0,0,3,0,0,54,3,5,2,9,0,0,1,0,2,146,0,5,10,0,2,1,0,0
DOMINICAN REPUBLIC,North America,Caribbean,1723,912,811,262,783,62,4,0,236,221,55,3,9,88,0,11,9,7,33,6,11,34,2,299,67,0,3,17,7,47,21,10,14,16,173,9,4,34,5,15,0,2,0,22,1,11,1,31,6,2,395,15,35,3,56,68,29,11,1,31,57,47,16,1,5,5,11,7,0
ECUADOR,South America,South America,3383,1843,1539,323,1488,292,43,0,413,560,221,6,3,34,1,12,2,26,204,31,28,53,5,603,111,0,7,46,14,179,176,30,21,49,243,31,3,31,50,52,0,10,1,61,4,12,1,85,28,7,418,37,24,17,131,20,34,21,11,28,178,118,52,0,3,27,31,14,2
EGYPT,Africa,Northern Africa,3390,2569,821,278,1228,988,36,0,101,566,134,7,9,43,0,31,17,59,393,41,47,38,4,272,70,0,1,101,10,118,95,42,33,36,199,61,3,81,80,54,0,10,5,70,18,31,10,77,15,13,368,132,16,28,166,0,10,5,20,25,229,23,123,0,4,35,46,15,10
EL SALVADOR,North America,Central America,1272,659,613,182,625,55,4,0,148,130,95,2,3,28,0,10,37,5,140,5,5,25,1,159,45,0,1,12,12,52,21,6,9,29,69,23,2,12,15,14,0,1,0,32,0,2,2,16,2,3,83,16,14,6,40,9,18,9,2,9,173,48,59,0,4,11,4,0,0
EQUATORIAL GUINEA,Africa,Central Africa,404,191,213,152,164,1,1,0,58,14,2,0,8,4,0,9,0,4,13,0,0,14,0,7,17,0,0,0,1,4,0,0,0,2,3,1,0,1,0,15,0,0,0,4,0,0,0,0,1,0,11,2,0,0,13,0,0,2,0,2,237,2,18,0,0,21,0,0,0
ERITREA,Africa,Eastern Africa,120,90,30,9,28,31,0,0,1,49,0,0,2,0,0,3,2,1,5,2,2,2,0,13,2,0,0,22,0,8,0,2,2,1,2,5,0,4,0,2,0,0,0,2,0,2,0,0,3,1,6,5,1,0,1,0,2,0,0,0,7,0,2,0,0,2,0,3,3
ESTONIA,Europe,Northern Europe,167,83,84,12,90,20,0,0,4,30,5,0,0,6,1,3,0,2,29,3,5,0,0,18,10,0,0,0,0,5,1,1,2,2,9,3,1,4,2,3,0,1,1,2,0,0,2,0,0,0,21,0,0,0,6,0,0,2,1,4,8,1,4,0,1,5,0,2,2
ETHIOPIA,Africa,Eastern Africa,2085,1104,981,228,1068,278,0,1,14,335,25,0,8,128,0,5,18,18,111,26,34,36,2,32,53,0,1,139,10,44,59,21,67,7,121,53,7,59,213,30,0,46,4,46,9,28,17,18,12,6,158,62,31,19,89,0,4,29,51,26,103,11,68,0,5,44,13,18,2
FAROE ISLANDS,Europe,Northern Europe,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIJI,Australia&Pacific Islands,Melanesia,64,30,34,22,22,5,0,0,1,12,1,0,0,1,0,0,1,0,13,0,2,1,0,4,3,0,3,1,0,1,0,1,0,0,2,2,0,0,1,2,0,1,0,0,0,0,0,0,2,0,6,0,0,1,3,0,0,0,0,0,1,6,1,0,0,3,2,1,0
FINLAND,Europe,Northern Europe,690,343,347,62,341,58,3,0,9,75,62,1,7,72,2,10,2,9,111,12,16,5,1,54,16,0,11,7,3,5,6,6,5,5,57,0,3,12,19,7,0,3,2,13,5,2,9,10,4,2,87,16,4,9,21,0,3,11,3,15,23,10,25,0,9,4,11,3,2
FRANCE,Europe,Western Europe,8026,4422,3600,609,2623,924,38,0,821,1805,924,46,18,218,2,54,23,100,2108,56,91,107,15,542,184,0,60,41,21,314,77,69,33,63,662,68,20,80,50,99,0,28,7,166,2,13,14,128,30,18,1508,79,53,39,248,5,32,70,5,39,269,66,76,0,22,93,41,34,2
FRENCH GUIANA,South America,South America,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRENCH POLYNESIA,Australia&Pacific Islands,Polynesia,12,8,4,3,6,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
GABON,Africa,Central Africa,369,175,194,155,120,3,0,0,41,43,4,0,2,1,0,0,4,1,20,4,3,12,3,8,12,0,0,1,1,9,6,1,0,6,15,22,0,3,3,3,0,0,0,3,0,10,0,1,1,1,26,8,17,3,9,0,0,1,1,3,137,1,4,0,0,2,2,2,0
"GAMBIA, THE",Africa,Western Africa,262,142,120,58,125,9,0,0,3,59,7,0,0,1,0,0,4,2,10,1,1,2,0,8,10,0,0,3,0,8,1,7,5,0,4,10,0,15,26,10,0,6,0,11,1,5,0,2,0,0,17,14,3,1,3,0,0,1,3,3,41,1,5,0,2,13,2,1,0
GAZA STRIP,Asia,Western Asia,111,86,25,19,36,27,0,0,7,20,2,0,0,0,0,0,1,1,10,1,0,3,0,7,5,0,0,2,0,2,1,2,0,1,4,1,0,7,0,1,0,0,0,5,3,0,0,1,0,0,16,5,0,4,5,0,0,1,1,0,7,4,8,0,0,1,1,0,0
GEORGIA,Asia,Western Asia,563,314,249,39,295,57,0,0,27,109,23,3,0,10,0,4,2,2,47,4,10,13,1,18,13,0,1,8,1,31,10,3,2,0,69,10,3,9,5,10,0,4,0,4,0,2,2,14,1,3,145,7,3,4,37,0,4,1,0,3,13,1,19,0,4,3,7,4,2
GERMANY,Europe,Western Europe,7355,3991,3363,402,2654,1231,140,0,363,1334,644,34,24,529,19,97,22,110,1491,80,140,72,12,538,165,0,101,59,28,226,106,42,46,57,639,80,25,146,50,128,0,35,16,214,12,16,37,123,36,24,874,102,47,70,250,5,48,119,17,117,254,57,116,0,28,75,139,37,8
GHANA,Africa,Western Africa,3221,2025,1195,132,1126,735,1,0,7,1127,40,1,2,50,2,32,34,65,94,26,58,49,15,135,82,0,1,39,45,170,81,31,29,39,172,62,14,165,87,99,0,44,16,115,24,23,28,41,33,8,214,282,52,13,150,0,13,30,63,78,164,36,69,0,7,18,42,22,10
GIBRALTAR,Europe,Southern Europe,3,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GREECE,Europe,Southern Europe,2187,1292,895,76,726,822,1,0,24,440,67,5,3,23,0,5,4,9,305,13,39,38,10,86,40,0,2,7,0,121,29,6,4,16,339,46,3,57,41,27,0,7,1,44,0,7,6,78,4,8,402,43,9,3,101,0,26,12,2,17,83,6,36,0,4,14,18,8,1
GREENLAND,North America,Northern America,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRENADA,North America,Caribbean,214,100,114,27,127,12,2,0,0,40,2,2,1,1,0,1,2,2,6,0,1,6,0,19,1,0,1,1,1,10,1,6,0,4,1,1,0,3,1,3,0,3,0,4,0,0,0,2,0,0,41,3,3,0,3,1,0,1,0,3,71,3,1,1,0,0,3,0,0
GUADELOUPE,North America,Caribbean,4,2,2,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUATEMALA,North America,Central America,1157,658,499,116,626,85,13,0,63,162,28,4,14,46,0,7,32,11,103,21,8,11,2,144,42,0,5,5,18,37,46,6,10,31,82,10,6,20,15,12,0,3,4,14,2,3,4,7,5,1,85,19,8,4,36,10,8,7,1,17,105,73,34,0,4,7,9,1,2
